,Name,Age,Nationality,Preferred Foot,Height,Weight,Position,Overall
38,G. Higuaín,30,Argentina,Right,185.42000000000002,88.90421024938539,LS,88
39,Thiago Silva,33,Brazil,Right,182.88,82.1003166078508,RCB,88
40,S. Handanovič,33,Slovenia,Right,193.04,92.07936061543487,GK,88
41,G. Buffon,40,Italy,Right,193.04,92.07936061543487,GK,88
42,S. Umtiti,24,France,Left,182.88,74.84283005688056,CB,87
43,M. Icardi,25,Argentina,Right,180.34,74.84283005688056,ST,87
44,K. Koulibaly,27,Senegal,Right,187.96,88.90421024938539,LCB,87
45,P. Pogba,25,France,Right,193.04,83.91468824559335,RDM,87
46,K. Navas,31,Costa Rica,Right,185.42000000000002,79.83235206067259,GK,87
47,R. Lukaku,25,Belgium,Left,190.5,93.89373225317743,ST,87
48,C. Immobile,28,Italy,Right,185.42000000000002,84.82187406446464,ST,87
49,Jordi Alba,29,Spain,Left,170.18,68.03893641534596,LB,87
50,D. Mertens,31,Belgium,Right,170.18,60.78144986437572,RF,87
51,J. Vertonghen,31,Belgium,Left,187.96,86.18265279277155,LCB,87
52,M. Hamšík,30,Slovakia,Right,182.88,78.92516624180132,LCM,87
53,I. Rakitić,30,Croatia,Right,182.88,78.01798042293004,RCM,87
54,Piqué,31,Spain,Right,193.04,84.82187406446464,RCB,87
55,L. Sané,22,Germany,Left,182.88,74.84283005688056,LW,86
56,Bernardo Silva,23,Portugal,Left,172.72,63.9566002304252,RW,86
57,Ederson,24,Brazil,Left,187.96,86.18265279277155,GK,86
58,S. Mané,26,Senegal,Right,175.26,68.94612223421724,LM,86
59,V. van Dijk,26,Netherlands,Right,193.04,92.07936061543487,LCB,86
60,R. Sterling,23,England,Right,170.18,68.94612223421724,RW,86
61,Roberto Firmino,26,Brazil,Right,180.34,76.20360878518747,CAM,86
62,R. Varane,25,France,Right,190.5,81.19313078897952,RCB,86
63,M. Verratti,25,Italy,Right,165.1,59.87426404550445,LCM,86
64,Alex Sandro,27,Brazil,Left,180.34,79.83235206067259,LB,86
65,Douglas Costa,27,Brazil,Left,172.72,69.85330805308853,LM,86
66,T. Müller,28,Germany,Right,185.42000000000002,74.84283005688056,CAM,86
67,Thiago,27,Spain,Right,175.26,69.85330805308853,CM,86
68,M. Reus,29,Germany,Right,180.34,71.21408678139544,LM,86
69,Azpilicueta,28,Spain,Right,177.8,76.20360878518747,RB,86
70,L. Bonucci,31,Italy,Right,190.5,84.82187406446464,RCB,86
71,T. Alderweireld,29,Belgium,Right,185.42000000000002,81.19313078897952,RCB,86
72,M. Pjanić,28,Bosnia Herzegovina,Right,177.8,72.12127260026672,CDM,86
73,M. Benatia,31,Morocco,Right,187.96,93.89373225317743,CB,86
74,M. Özil,29,Germany,Left,180.34,76.20360878518747,CAM,86
75,Fernandinho,33,Brazil,Right,177.8,67.13175059647469,CDM,86
76,Iniesta,34,Spain,Right,170.18,68.03893641534596,LF,86
77,M. Škriniar,23,Slovakia,Right,187.96,79.83235206067259,LCB,85
78,S. Milinković-Savić,23,Serbia,Right,190.5,76.20360878518747,CM,85
79,Marco Asensio,22,Spain,Left,182.88,76.20360878518747,RW,85
80,N. Fekir,24,France,Left,172.72,74.84283005688056,CAM,85
81,Alisson,25,Brazil,Right,190.5,91.17217479656358,GK,85
82,J. Kimmich,23,Germany,Right,175.26,69.85330805308853,RCM,85
83,Saúl,23,Spain,Left,182.88,77.11079460405875,RCM,85
84,R. Mahrez,27,Algeria,Left,177.8,67.13175059647469,RW,85
85,D. Alaba,26,Austria,Left,180.34,76.20360878518747,LB,85
86,Koke,26,Spain,Right,175.26,73.93564423800927,LM,85
87,A. Lacazette,27,France,Right,175.26,73.028458419138,ST,85
88,K. Manolas,27,Greece,Right,187.96,83.00750242672207,LCB,85
89,N. Otamendi,30,Argentina,Right,182.88,81.19313078897952,CB,85
90,Parejo,29,Spain,Right,182.88,73.93564423800927,RCM,85
91,Paulinho,29,Brazil,Right,182.88,71.21408678139544,LDM,85
92,W. Szczęsny,28,Poland,Right,195.58,89.81139606825667,GK,85
93,A. Sánchez,29,Chile,Right,170.18,73.93564423800927,RW,85
94,Y. Brahimi,28,Algeria,Right,175.26,66.2245647776034,LM,85
95,J. Boateng,29,Germany,Right,193.04,89.81139606825667,RCB,85
96,A. Vidal,31,Chile,Right,180.34,74.84283005688056,CAM,85
97,I. Perišić,29,Croatia,Right,185.42000000000002,79.83235206067259,LM,85
98,E. Džeko,32,Bosnia Herzegovina,Right,193.04,83.91468824559335,ST,85
99,S. Khedira,31,Germany,Right,187.96,89.81139606825667,RCM,85
100,Diego Costa,29,Spain,Right,187.96,86.18265279277155,LS,85
101,R. Nainggolan,30,Belgium,Right,175.26,77.11079460405875,CAM,85
102,Naldo,35,Brazil,Right,198.12,91.17217479656358,CB,85
103,B. Matuidi,31,France,Left,180.34,74.84283005688056,LM,85
104,Miranda,33,Brazil,Right,185.42000000000002,78.01798042293004,CB,85
105,K. Benzema,30,France,Right,185.42000000000002,81.19313078897952,ST,85
106,Filipe Luís,32,Brazil,Left,182.88,73.93564423800927,LB,85
107,V. Kompany,32,Belgium,Right,190.5,84.82187406446464,CB,85
108,Pepe,35,Portugal,Right,187.96,81.19313078897952,RCB,85
109,Z. Ibrahimović,36,Sweden,Right,195.58,94.8009180720487,RS,85
110,D. Sánchez,22,Colombia,Right,187.96,78.92516624180132,RCB,84
111,J. Giménez,23,Uruguay,Right,185.42000000000002,79.83235206067259,RCB,84
112,Alex Telles,25,Brazil,Left,180.34,71.21408678139544,LB,84
113,A. Laporte,24,France,Left,187.96,84.82187406446464,LCB,84
114,Bruno Fernandes,23,Portugal,Right,177.8,68.94612223421724,LCM,84
115,N. Süle,22,Germany,Right,195.58,97.06888261922691,CB,84
116,A. Martial,22,France,Right,182.88,76.20360878518747,LW,84
117,D. Alli,22,England,Right,187.96,79.83235206067259,LCM,84
118,Fabinho,24,Brazil,Right,187.96,78.01798042293004,CDM,84
119,Marquinhos,24,Brazil,Right,182.88,74.84283005688056,LDM,84
120,William Carvalho,26,Portugal,Right,187.96,83.00750242672207,CDM,84
121,Jorginho,26,Italy,Right,180.34,67.13175059647469,CM,84
122,F. Thauvin,25,France,Left,177.8,69.85330805308853,RM,84
123,Carvajal,26,Spain,Right,172.72,73.028458419138,RB,84
124,M. Depay,24,Netherlands,Right,175.26,78.01798042293004,ST,84
125,H. Son,25,Korea Republic,Right,182.88,64.86378604929648,LM,84
126,A. Lopes,27,Portugal,Left,182.88,81.19313078897952,GK,84
127,S. de Vrij,26,Netherlands,Right,187.96,78.01798042293004,CB,84
128,M. Perin,25,Italy,Right,187.96,77.11079460405875,GK,84
129,J. Cuadrado,30,Colombia,Right,177.8,72.12127260026672,RAM,84
130,Iago Aspas,30,Spain,Left,175.26,67.13175059647469,ST,84
131,B. Leno,26,Germany,Right,190.5,83.00750242672207,GK,84
132,N. Matić,29,Serbia,Left,193.04,84.82187406446464,CDM,84
133,L. Hrádecký,28,Finland,Right,193.04,84.82187406446464,GK,84
134,Illarramendi,28,Spain,Right,177.8,74.84283005688056,RDM,84
135,K. Walker,28,England,Right,182.88,69.85330805308853,RB,84
136,I. Gündoğan,27,Germany,Right,180.34,79.83235206067259,CM,84
137,José Callejón,31,Spain,Right,177.8,73.028458419138,RM,84
138,A. Di María,30,Argentina,Left,180.34,68.94612223421724,RM,84
139,M. Mandžukić,32,Croatia,Right,190.5,84.82187406446464,ST,84
140,Willian,29,Brazil,Right,175.26,78.01798042293004,RW,84
141,Sergio Asenjo,29,Spain,Right,187.96,87.08983861164283,GK,84
142,E. Banega,30,Argentina,Right,175.26,71.21408678139544,CDM,84
143,A. Witsel,29,Belgium,Right,187.96,81.19313078897952,LCM,84
144,D. Payet,31,France,Right,175.26,77.11079460405875,CAM,84
145,Jonas,34,Brazil,Right,180.34,73.93564423800927,ST,84
146,Sokratis,30,Greece,Right,185.42000000000002,84.82187406446464,RCB,84
147,S. Ruffier,31,France,Right,187.96,92.98654643430615,GK,84
148,Falcao,32,Colombia,Right,177.8,72.12127260026672,RS,84
149,K. Schmeichel,31,Denmark,Right,187.96,88.90421024938539,GK,84
150,Raúl Albiol,32,Spain,Right,190.5,82.1003166078508,RCB,84
151,A. Gómez,30,Argentina,Right,165.1,68.03893641534596,LS,84
152,A. Barzagli,37,Italy,Right,187.96,87.08983861164283,CB,84
153,Quaresma,34,Portugal,Right,175.26,67.13175059647469,RM,84
154,A. Robben,34,Netherlands,Left,180.34,79.83235206067259,RM,84
155,O. Dembélé,21,France,Left,177.8,67.13175059647469,RW,83
156,Gabriel Jesus,21,Brazil,Right,175.26,73.028458419138,ST,83
157,Ronaldo Cabrais,26,Brazil,Right,177.8,74.84283005688056,RW,83
158,Josué Chiamulera,26,Brazil,Right,185.42000000000002,79.83235206067259,LCB,83
159,Louri Beretta,26,Brazil,Right,187.96,83.00750242672207,ST,83
160,P. Kimpembe,22,France,Left,187.96,79.83235206067259,LCB,83
161,N. Keïta,23,Guinea,Right,172.72,63.9566002304252,CM,83
162,C. Tolisso,23,France,Right,180.34,81.19313078897952,CM,83
163,T. Lemar,22,France,Left,170.18,62.14222859268264,LM,83
164,K. Coman,22,France,Right,177.8,71.21408678139544,LM,83
165,J. Tah,22,Germany,Right,195.58,97.06888261922691,CB,83
166,Anderson Talisca,24,Brazil,Left,190.5,79.83235206067259,CAM,83
167,T. Werner,22,Germany,Right,180.34,74.84283005688056,RW,83
168,A. Rabiot,23,France,Left,193.04,79.83235206067259,CM,83
169,L. Goretzka,23,Germany,Right,187.96,78.92516624180132,CM,83
170,Q. Promes,26,Netherlands,Right,175.26,72.12127260026672,RM,83
171,H. Ziyech,25,Morocco,Left,180.34,64.86378604929648,RAM,83
172,Lucas Vázquez,27,Spain,Right,172.72,69.85330805308853,RW,83
173,Y. Carrasco,24,Belgium,Right,180.34,73.028458419138,LM,83
174,Gerard Moreno,26,Spain,Left,180.34,77.11079460405875,LS,83
175,Felipe,29,Brazil,Right,190.5,86.18265279277155,RCB,83
176,M. Kovačić,24,Croatia,Right,175.26,78.01798042293004,LCM,83
177,Kepa,23,Spain,Right,185.42000000000002,84.82187406446464,GK,83
178,Manu Trigueros,26,Spain,Right,177.8,74.84283005688056,RCM,83
179,S. Gnabry,22,Germany,Right,175.26,74.84283005688056,ST,83
180,J. Pickford,24,England,Left,185.42000000000002,77.11079460405875,GK,83
181,S. Savić,27,Montenegro,Right,187.96,78.92516624180132,CB,83
182,J. Stones,24,England,Right,187.96,69.85330805308853,RCB,83
183,Suso,24,Spain,Left,175.26,69.85330805308853,RW,83
184,J. Draxler,24,Germany,Right,187.96,77.11079460405875,CM,83
185,Felipe Anderson,25,Brazil,Right,175.26,69.85330805308853,LM,83
186,Lucas Moura,25,Brazil,Right,175.26,69.85330805308853,RM,83
187,Danilo Pereira,26,Portugal,Right,187.96,83.00750242672207,CDM,83
188,Nacho Fernández,28,Spain,Right,180.34,76.20360878518747,CB,83
189,T. Horn,25,Germany,Left,193.04,89.81139606825667,GK,83
190,Allan,27,Brazil,Right,175.26,73.93564423800927,RCM,83
191,F. Acerbi,30,Italy,Left,193.04,87.99702443051412,CB,83
192,Sergi Roberto,26,Spain,Right,177.8,68.03893641534596,RB,83
193,Rodrigo,27,Spain,Left,182.88,77.11079460405875,ST,83
194,Pizzi,28,Portugal,Right,177.8,72.12127260026672,LCM,83
195,K. Kampl,27,Slovenia,Right,177.8,67.13175059647469,LCM,83
196,Neto,28,Brazil,Right,190.5,83.91468824559335,GK,83
197,O. Baumann,28,Germany,Right,187.96,82.1003166078508,GK,83
198,I. Gueye,28,Senegal,Right,175.26,66.2245647776034,RDM,83
199,H. Mkhitaryan,29,Armenia,Right,177.8,74.84283005688056,RM,83
200,Marcos Alonso,27,Spain,Left,187.96,87.08983861164283,LB,83
201,D. Subašić,33,Croatia,Right,190.5,83.91468824559335,GK,83
202,K. Glik,30,Poland,Right,190.5,79.83235206067259,RCB,83
203,K. Strootman,28,Netherlands,Left,185.42000000000002,79.83235206067259,CDM,83
204,B. Dost,29,Netherlands,Right,195.58,88.90421024938539,ST,83
205,Oscar,26,Brazil,Right,177.8,66.2245647776034,LCM,83
206,M. Balotelli,27,Italy,Right,187.96,87.99702443051412,LS,83
207,Luiz Gustavo,30,Brazil,Left,187.96,78.01798042293004,LCB,83
208,Giuliano,28,Brazil,Right,172.72,68.03893641534596,CAM,83
209,David Luiz,31,Brazil,Right,187.96,86.18265279277155,LCB,83
210,R. Fährmann,29,Germany,Right,198.12,97.97606843809818,GK,83
211,Juan Mata,30,Spain,Left,170.18,63.049414411553926,RM,83
212,Adán,31,Spain,Left,190.5,92.07936061543487,GK,83
213,Rui Patrício,30,Portugal,Left,190.5,83.91468824559335,GK,83
214,Y. Sommer,29,Switzerland,Right,182.88,78.92516624180132,GK,83
215,Javi Martínez,29,Spain,Right,193.04,86.18265279277155,CDM,83
216,L. Bender,29,Germany,Right,185.42000000000002,81.19313078897952,RB,83
217,Lucas Leiva,31,Brazil,Right,177.8,78.01798042293004,LDM,83
218,S. Mandanda,33,France,Right,185.42000000000002,82.1003166078508,GK,83
219,Cesc Fàbregas,31,Spain,Right,177.8,77.11079460405875,CM,83
220,M. Dembélé,30,Belgium,Left,185.42000000000002,82.1003166078508,CM,83
221,F. Ribéry,35,France,Right,170.18,72.12127260026672,LM,83
222,R. Jarstein,33,Norway,Right,190.5,82.1003166078508,GK,83
223,D. De Rossi,34,Italy,Right,182.88,83.00750242672207,RDM,83
224,Pepe Reina,35,Spain,Right,187.96,92.07936061543487,GK,83
225,J. Pavlenka,26,Czech Republic,Right,195.58,81.19313078897952,GK,82
226,M. de Ligt,18,Netherlands,Right,187.96,88.90421024938539,RCB,82
227,Rodri,22,Spain,Right,190.5,82.1003166078508,CM,82
228,Arthur,21,Brazil,Right,170.18,73.028458419138,LCM,82
229,G. Donnarumma,19,Italy,Right,195.58,89.81139606825667,GK,82
230,Rosberto Dourado,30,Brazil,Right,175.26,69.85330805308853,RCM,82
231,Juiano Mestres,34,Brazil,Right,180.34,82.1003166078508,RCB,82
232,Raphaelito Anjos,30,Brazil,Right,190.5,84.82187406446464,GK,82
233,Gelson Martins,23,Portugal,Right,172.72,72.12127260026672,RM,82
234,Gonçalo Guedes,21,Portugal,Right,177.8,68.03893641534596,LM,82
235,L. Torreira,22,Uruguay,Right,167.64000000000001,63.9566002304252,LCM,82
236,Malcom,21,Brazil,Left,172.72,73.93564423800927,RW,82
237,Pau López,23,Spain,Left,187.96,77.11079460405875,GK,82
238,L. Hernández,22,France,Left,182.88,76.20360878518747,LB,82
239,C. Lenglet,23,France,Left,185.42000000000002,81.19313078897952,LCB,82
240,A. Kramarić,27,Croatia,Right,177.8,73.028458419138,LCM,82
241,A. Robertson,24,Scotland,Left,177.8,63.9566002304252,LB,82
242,Dani García,28,Spain,Right,180.34,79.83235206067259,RCM,82
243,F. Bernardeschi,24,Italy,Left,185.42000000000002,77.11079460405875,RM,82
244,J. Brandt,22,Germany,Right,185.42000000000002,83.91468824559335,LM,82
245,D. Rugani,23,Italy,Right,190.5,83.91468824559335,CB,82
246,Samu Castillejo,23,Spain,Left,182.88,67.13175059647469,RM,82
247,João Cancelo,24,Portugal,Right,182.88,73.93564423800927,RB,82
248,A. Romagnoli,23,Italy,Left,187.96,78.01798042293004,LCB,82
249,T. Partey,25,Ghana,Right,185.42000000000002,77.11079460405875,CDM,82
250,Fred,25,Brazil,Left,170.18,63.9566002304252,CM,82
251,J. Vardy,31,England,Right,177.8,73.93564423800927,ST,82
252,A. Belotti,24,Italy,Right,180.34,72.12127260026672,LS,82
253,E. Forsberg,26,Sweden,Right,177.8,73.93564423800927,LM,82
254,J. Lingard,25,England,Right,175.26,62.14222859268264,CAM,82
255,F. Vázquez,29,Argentina,Left,185.42000000000002,82.1003166078508,LCM,82
256,E. Višća,28,Bosnia Herzegovina,Right,172.72,63.049414411553926,RM,82
257,A. Rüdiger,25,Germany,Right,190.5,84.82187406446464,CB,82
258,A. Florenzi,27,Italy,Right,172.72,67.13175059647469,RB,82
259,H. Maguire,25,England,Right,193.04,99.79044007584075,LCB,82
260,T. Meunier,26,Belgium,Right,190.5,89.81139606825667,RM,82
261,S. Sané,27,Senegal,Right,195.58,84.82187406446464,CB,82
262,G. Kondogbia,25,Central African Rep.,Left,187.96,79.83235206067259,CM,82
263,Rafinha,25,Brazil,Left,175.26,71.21408678139544,CAM,82
264,Gabriel Paulista,27,Brazil,Right,187.96,78.92516624180132,LCB,82
265,Morata,25,Spain,Right,187.96,84.82187406446464,ST,82
266,J. Cillessen,29,Netherlands,Right,185.42000000000002,83.00750242672207,GK,82
267,W. Ben Yedder,27,France,Right,170.18,68.03893641534596,RS,82
268,C. Bakambu,27,DR Congo,Right,182.88,73.028458419138,ST,82
269,Pablo Sarabia,26,Spain,Left,175.26,69.85330805308853,RCM,82
270,W. Zaha,25,Ivory Coast,Right,180.34,66.2245647776034,LS,82
271,Luis Alberto,25,Spain,Right,182.88,73.93564423800927,CF,82
272,Jonathan Viera,28,Spain,Right,170.18,63.9566002304252,LF,82
273,Bartra,27,Spain,Right,182.88,73.028458419138,CB,82
274,S. Coates,27,Uruguay,Right,195.58,92.07936061543487,RCB,82
275,Willian José,26,Brazil,Right,187.96,92.98654643430615,ST,82
276,Mário Fernandes,27,Russia,Right,187.96,79.83235206067259,RB,82
277,Víctor Ruiz,29,Spain,Left,185.42000000000002,78.01798042293004,LCB,82
278,T. Delaney,26,Denmark,Left,182.88,78.92516624180132,LCM,82
279,K. Casteels,26,Belgium,Left,198.12,86.18265279277155,GK,82
280,M. Götze,26,Germany,Right,175.26,74.84283005688056,CM,82
281,S. Mustafi,26,Germany,Right,182.88,82.1003166078508,RCB,82
282,J. Pastore,29,Argentina,Right,187.96,78.01798042293004,CAM,82
283,Pedro,30,Spain,Right,170.18,64.86378604929648,RW,82
284,G. Bonaventura,28,Italy,Right,180.34,74.84283005688056,CM,82
285,R. Bürki,27,Switzerland,Right,187.96,84.82187406446464,GK,82
286,Taison,30,Brazil,Right,172.72,63.9566002304252,LM,82
287,S. Nzonzi,29,France,Right,195.58,74.84283005688056,CDM,82
288,Marlos,30,Ukraine,Left,175.26,68.94612223421724,RM,82
289,A. Ramsey,27,Wales,Right,182.88,76.20360878518747,CAM,82
290,K. Trippier,27,England,Right,177.8,72.12127260026672,RB,82
291,A. Kolarov,32,Serbia,Left,187.96,83.00750242672207,LB,82
292,G. Sigurðsson,28,Iceland,Right,185.42000000000002,82.1003166078508,CAM,82
293,S. Giovinco,31,Italy,Right,162.56,60.78144986437572,CF,82
294,M. Arnautović,29,Austria,Right,193.04,83.00750242672207,LS,82
295,N. Gaitán,30,Argentina,Left,172.72,66.2245647776034,CAM,82
296,J. Henderson,28,England,Right,182.88,79.83235206067259,RCM,82
297,M. Kruse,30,Germany,Left,180.34,76.20360878518747,ST,82
298,M. Parolo,33,Italy,Right,182.88,74.84283005688056,RDM,82
299,L. Fejsa,29,Serbia,Right,182.88,79.83235206067259,CDM,82
300,A. Rami,32,France,Right,190.5,89.81139606825667,RCB,82
301,V. Ćorluka,32,Croatia,Right,193.04,83.91468824559335,LCB,82
302,G. Wijnaldum,27,Netherlands,Right,175.26,68.94612223421724,CAM,82
303,F. Fazio,31,Argentina,Right,195.58,84.82187406446464,LCB,82
304,O. Giroud,31,France,Left,193.04,92.07936061543487,ST,82
305,Marcano,31,Spain,Left,187.96,77.11079460405875,CB,82
306,A. Guardado,31,Mexico,Left,170.18,67.13175059647469,CM,82
307,E. Garay,31,Argentina,Right,187.96,89.81139606825667,RCB,82
308,Jardel,32,Brazil,Right,193.04,87.08983861164283,LCB,82
309,S. Sirigu,31,Italy,Right,193.04,79.83235206067259,GK,82
310,E. Viviano,32,Italy,Left,195.58,89.81139606825667,GK,82
311,L. Koscielny,32,France,Right,185.42000000000002,74.84283005688056,CB,82
312,A. Consigli,31,Italy,Right,187.96,82.1003166078508,GK,82
313,L. Biglia,32,Argentina,Right,177.8,63.049414411553926,CDM,82
314,Dani Alves,35,Brazil,Right,172.72,68.03893641534596,RB,82
315,David Villa,36,Spain,Right,175.26,68.94612223421724,ST,82
316,Aduriz,37,Spain,Right,182.88,78.01798042293004,ST,82
317,P. Čech,36,Czech Republic,Left,195.58,89.81139606825667,GK,82
318,Casillas,37,Spain,Left,185.42000000000002,83.91468824559335,GK,82
319,M. Rashford,20,England,Right,185.42000000000002,69.85330805308853,LW,81
320,Laure Santeiro,30,Brazil,Left,170.18,63.049414411553926,CAM,81
321,L. Bailey,20,Jamaica,Left,177.8,78.92516624180132,LM,81
322,M. Akanji,22,Switzerland,Right,187.96,84.82187406446464,LCB,81
323,F. de Jong,21,Netherlands,Right,180.34,69.85330805308853,LDM,81
324,Nélson Semedo,24,Portugal,Right,177.8,67.13175059647469,RB,81
325,Pablo Fornals,22,Spain,Right,177.8,67.13175059647469,CAM,81
326,Fabián,22,Spain,Left,187.96,69.85330805308853,LM,81
327,E. Bailly,24,Ivory Coast,Right,185.42000000000002,77.11079460405875,CB,81
328,Dani Ceballos,21,Spain,Right,177.8,69.85330805308853,LCM,81
329,H. Lozano,22,Mexico,Right,175.26,69.85330805308853,LS,81
330,Morales,30,Spain,Right,180.34,69.85330805308853,LS,81
331,J. Seri,26,Ivory Coast,Right,170.18,73.028458419138,LDM,81
332,M. Politano,24,Italy,Left,170.18,67.13175059647469,RM,81
333,M. Brozović,25,Croatia,Right,180.34,68.03893641534596,LDM,81
334,Williams,24,Spain,Right,185.42000000000002,78.92516624180132,LW,81
335,A. Correa,23,Argentina,Right,170.18,68.03893641534596,RM,81
336,A. Christensen,22,Denmark,Right,187.96,81.19313078897952,LCB,81
337,João Mário,25,Portugal,Right,177.8,73.028458419138,CAM,81
338,T. Strakosha,23,Albania,Right,193.04,78.01798042293004,GK,81
339,E. Hysaj,24,Albania,Right,182.88,69.85330805308853,RB,81
340,P. Zieliński,24,Poland,Right,180.34,74.84283005688056,RCM,81
341,Ricardo Pereira,24,Portugal,Right,175.26,69.85330805308853,RB,81
342,Grimaldo,22,Spain,Left,170.18,68.94612223421724,LB,81
343,R. Guerreiro,24,Portugal,Left,170.18,71.21408678139544,LM,81
344,A. Doucouré,25,France,Right,182.88,76.20360878518747,RDM,81
345,J. Martínez,25,Venezuela,Right,170.18,68.94612223421724,LS,81
346,C. Bacca,31,Colombia,Right,180.34,77.11079460405875,LS,81
347,A. Plea,25,France,Right,180.34,78.92516624180132,LW,81
348,B. Davies,25,Wales,Left,182.88,76.20360878518747,LB,81
349,M. Nastasić,25,Serbia,Left,187.96,83.00750242672207,LCB,81
350,A. Milik,24,Poland,Left,185.42000000000002,78.01798042293004,CF,81
351,M. Sabitzer,24,Austria,Right,177.8,77.11079460405875,LM,81
352,B. Mendy,23,France,Left,185.42000000000002,84.82187406446464,LB,81
353,C. Kramer,27,Germany,Right,190.5,76.20360878518747,CDM,81
354,S. Vrsaljko,26,Croatia,Right,180.34,76.20360878518747,RB,81
355,T. Hazard,25,Belgium,Right,175.26,68.94612223421724,RW,81
356,K. Bellarabi,28,Germany,Right,182.88,81.19313078897952,RM,81
357,S. Zaza,27,Italy,Left,185.42000000000002,83.91468824559335,RS,81
358,F. Ghoulam,27,Algeria,Left,182.88,79.83235206067259,LB,81
359,B. Lecomte,27,France,Left,185.42000000000002,78.01798042293004,GK,81
360,J. Iličić,30,Slovenia,Left,190.5,78.92516624180132,CAM,81
361,K. Volland,25,Germany,Left,177.8,84.82187406446464,ST,81
362,Paco Alcácer,24,Spain,Right,175.26,72.12127260026672,ST,81
363,Vitolo,28,Spain,Right,185.42000000000002,78.92516624180132,LM,81
364,G. Xhaka,25,Switzerland,Left,185.42000000000002,82.1003166078508,LDM,81
365,D. Tadić,29,Serbia,Left,180.34,76.20360878518747,LAM,81
366,C. Aránguiz,29,Chile,Right,170.18,69.85330805308853,LDM,81
367,S. Verdi,25,Italy,Left,170.18,60.78144986437572,RW,81
368,D. Lovren,28,Croatia,Right,187.96,83.91468824559335,RCB,81
369,G. Medel,30,Chile,Right,170.18,64.86378604929648,RCB,81
370,X. Shaqiri,26,Switzerland,Left,170.18,72.12127260026672,CAM,81
371,J. Corona,25,Mexico,Right,172.72,62.14222859268264,RM,81
372,A. Areola,25,France,Right,195.58,93.89373225317743,GK,81
373,K. Vogt,26,Germany,Right,193.04,84.82187406446464,CB,81
374,Ander Herrera,28,Spain,Right,182.88,69.85330805308853,CM,81
375,E. Salvio,27,Argentina,Right,172.72,77.11079460405875,RW,81
376,S. El Shaarawy,25,Italy,Right,177.8,72.12127260026672,LM,81
377,C. Smalling,28,England,Right,193.04,81.19313078897952,RCB,81
378,Hulk,31,Brazil,Left,180.34,84.82187406446464,RCM,81
379,S. Kagawa,29,Japan,Right,175.26,68.03893641534596,CAM,81
380,M. Lanzini,25,Argentina,Right,167.64000000000001,58.96707822663317,CAM,81
